Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Costa Rica,CRI,49.41,70.88,97.63,103.2,105.21,105.6,91.12,95.16,97.42,96.09,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Cote d'Ivoire,CIV,49.94,71.68,104.58,101.08,111.1,116.99,121.5,125.74,129.93,133.26,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Croatia,HRV,..,69.86,96.85,110.84,88.14,100.5,98.19,110.96,94.56,85.16,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Cuba,CUB,146.63,125.24,101.09,101.73,103.91,91.8,93.14,72.92,66.07,65.76,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Cyprus,CYP,221.24,176.58,109.17,89.43,94.43,86.67,88.74,87.51,84.41,85.49,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Czechia,CZE,..,91.4,94.61,101.19,90.19,87.42,87.1,92.93,92.26,93.98,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Denmark,DNK,104.96,91.72,103.9,94.98,107.11,75.83,103.74,103.05,96.3,107.01,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Djibouti,DJI,59.26,73.62,101.23,100.24,123.49,137.16,160.68,169.14,150.47,139.41,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Dominica,DMA,117.14,93.58,99.87,101.69,99.73,100.34,100.29,100.27,100.63,100.61,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Dominican Republic,DOM,47.62,51.24,98.71,103.76,109.76,118.35,120.86,117.58,119.04,136.2,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Ecuador,ECU,61.21,72.21,106.98,93.86,98,94.23,96.2,97.08,104.34,100.03,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,"Egypt, Arab Rep.",EGY,47.29,73.2,101.99,98.94,100.63,96.26,101.22,101.83,104.17,105.25,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,El Salvador,SLV,98.46,102.25,93.95,104.99,107.19,103.48,107.12,101.89,107.86,105.36,..,..,,,,
